time,gFx,gFy,gFz,TgF
0.001000,0.2038,0.9572,0.0381,0.979
0.002000,0.1950,0.9616,0.0330,0.982
0.002000,0.1879,0.9636,0.0313,0.982
0.003000,0.1759,0.9660,0.0335,0.982
0.003000,0.1656,0.9680,0.0357,0.983
0.008000,0.1627,0.9689,0.0369,0.983
0.009000,0.1615,0.9697,0.0369,0.984
0.009000,0.1617,0.9682,0.0366,0.982
0.011000,0.1622,0.9675,0.0379,0.982
0.012000,0.1630,0.9685,0.0376,0.983
0.014000,0.1649,0.9672,0.0435,0.982
0.016000,0.1698,0.9670,0.0476,0.983
0.019000,0.1769,0.9660,0.0474,0.983
0.026000,0.1788,0.9648,0.0452,0.982
0.026000,0.1837,0.9638,0.0393,0.982
0.027000,0.1857,0.9636,0.0366,0.982
0.027000,0.1840,0.9641,0.0303,0.982
0.028000,0.1801,0.9643,0.0281,0.981
0.030000,0.1776,0.9655,0.0249,0.982
0.032000,0.1766,0.9670,0.0247,0.983
0.034000,0.1759,0.9672,0.0269,0.983
0.043000,0.1774,0.9667,0.0313,0.983
0.043000,0.1791,0.9655,0.0327,0.983
0.043000,0.1825,0.9641,0.0342,0.982
0.044000,0.1849,0.9633,0.0362,0.982
0.044000,0.1871,0.9626,0.0376,0.981
0.046000,0.1854,0.9621,0.0364,0.980
0.048000,0.1810,0.9631,0.0357,0.981
0.050000,0.1735,0.9648,0.0366,0.981
0.052000,0.1713,0.9660,0.0369,0.982
0.058000,0.1669,0.9677,0.0347,0.983
0.058000,0.1652,0.9677,0.0335,0.982
0.059000,0.1656,0.9680,0.0340,0.983
0.061000,0.1676,0.9672,0.0393,0.982
0.062000,0.1688,0.9677,0.0423,0.983
0.065000,0.1698,0.9667,0.0481,0.983
0.066000,0.1705,0.9665,0.0501,0.983
0.068000,0.1678,0.9658,0.0550,0.982
0.075000,0.1644,0.9677,0.0572,0.983
0.075000,0.1644,0.9689,0.0567,0.984
0.076000,0.1637,0.9697,0.0525,0.985
0.076000,0.1664,0.9682,0.0523,0.984
0.079000,0.1713,0.9655,0.0511,0.982
0.080000,0.1742,0.9650,0.0489,0.982
0.083000,0.1815,0.9650,0.0457,0.983
0.084000,0.1867,0.9619,0.0413,0.981
0.086000,0.1886,0.9624,0.0384,0.981
0.092000,0.1908,0.9611,0.0359,0.981
0.093000,0.1908,0.9628,0.0330,0.982
0.093000,0.1903,0.9631,0.0313,0.982
0.094000,0.1881,0.9611,0.0303,0.980
0.097000,0.1859,0.9628,0.0305,0.981
0.099000,0.1857,0.9641,0.0291,0.982
0.100000,0.1808,0.9648,0.0293,0.982
0.102000,0.1781,0.9655,0.0313,0.982
0.111000,0.1740,0.9670,0.0332,0.983
0.111000,0.1735,0.9675,0.0327,0.983
0.112000,0.1705,0.9672,0.0335,0.983
0.112000,0.1681,0.9655,0.0352,0.981
0.113000,0.1686,0.9646,0.0364,0.980
0.114000,0.1686,0.9660,0.0391,0.981
0.117000,0.1735,0.9648,0.0418,0.981
0.119000,0.1779,0.9655,0.0423,0.983
0.121000,0.1798,0.9660,0.0406,0.983
0.127000,0.1823,0.9633,0.0369,0.981
0.128000,0.1871,0.9626,0.0354,0.981
0.129000,0.1876,0.9641,0.0352,0.983
0.129000,0.1849,0.9638,0.0335,0.982
0.131000,0.1810,0.9655,0.0335,0.983
0.132000,0.1783,0.9667,0.0337,0.984
0.134000,0.1744,0.9665,0.0335,0.983
0.136000,0.1718,0.9670,0.0335,0.983
0.143000,0.1674,0.9692,0.0332,0.984
0.143000,0.1652,0.9702,0.0347,0.985
0.144000,0.1639,0.9711,0.0366,0.986
0.145000,0.1605,0.9721,0.0406,0.986
0.147000,0.1595,0.9721,0.0418,0.986
0.149000,0.1568,0.9726,0.0445,0.986
0.150000,0.1561,0.9726,0.0452,0.986
0.152000,0.1571,0.9721,0.0440,0.986
0.159000,0.1578,0.9724,0.0425,0.986
0.160000,0.1610,0.9711,0.0408,0.985
0.160000,0.1656,0.9689,0.0371,0.984
0.161000,0.1678,0.9677,0.0369,0.983
0.163000,0.1722,0.9663,0.0369,0.982
0.165000,0.1735,0.9663,0.0386,0.982
0.167000,0.1740,0.9653,0.0401,0.982
0.168000,0.1737,0.9648,0.0401,0.981
0.177000,0.1742,0.9653,0.0388,0.982
0.178000,0.1727,0.9667,0.0413,0.983
0.178000,0.1700,0.9660,0.0428,0.982
0.178000,0.1666,0.9675,0.0442,0.983
0.179000,0.1620,0.9711,0.0430,0.986
0.181000,0.1608,0.9724,0.0423,0.986
0.183000,0.1608,0.9716,0.0410,0.986
0.185000,0.1644,0.9672,0.0369,0.982
0.186000,0.1720,0.9646,0.0388,0.981
0.193000,0.1762,0.9633,0.0403,0.980
0.194000,0.1845,0.9602,0.0447,0.979
0.194000,0.1898,0.9577,0.0503,0.978
0.195000,0.1918,0.9570,0.0528,0.977
0.197000,0.1923,0.9577,0.0537,0.978
0.199000,0.1903,0.9577,0.0511,0.978
0.200000,0.1893,0.9582,0.0489,0.978
0.202000,0.1876,0.9597,0.0445,0.979
0.210000,0.1859,0.9606,0.0393,0.979
0.210000,0.1827,0.9624,0.0374,0.980
0.211000,0.1803,0.9631,0.0374,0.981
0.211000,0.1783,0.9653,0.0379,0.982
0.213000,0.1791,0.9641,0.0381,0.981
0.214000,0.1796,0.9643,0.0379,0.982
0.217000,0.1801,0.9646,0.0354,0.982
0.219000,0.1808,0.9665,0.0327,0.984
0.225000,0.1798,0.9667,0.0330,0.984
0.226000,0.1801,0.9677,0.0337,0.985
0.226000,0.1781,0.9675,0.0305,0.984
0.226000,0.1766,0.9675,0.0310,0.984
0.229000,0.1757,0.9682,0.0301,0.984
0.231000,0.1730,0.9716,0.0276,0.987
0.233000,0.1705,0.9689,0.0286,0.984
0.235000,0.1720,0.9680,0.0283,0.984
0.237000,0.1744,0.9667,0.0293,0.983
0.242000,0.1730,0.9655,0.0322,0.981
0.243000,0.1718,0.9650,0.0340,0.981
0.243000,0.1693,0.9646,0.0349,0.980
0.245000,0.1642,0.9660,0.0376,0.981
0.247000,0.1617,0.9692,0.0428,0.984
0.249000,0.1620,0.9694,0.0450,0.984
