time,gFx,gFy,gFz,TgF
0.003000,0.1791,0.9646,0.0577,0.983
0.003000,0.1713,0.9619,0.0435,0.978
0.004000,0.1664,0.9626,0.0408,0.978
0.004000,0.1542,0.9638,0.0459,0.977
0.004000,0.1434,0.9680,0.0633,0.981
0.005000,0.1388,0.9724,0.0726,0.985
0.005000,0.1302,0.9733,0.0833,0.986
0.005000,0.1231,0.9780,0.0867,0.990
0.006000,0.1178,0.9787,0.0858,0.990
0.008000,0.1185,0.9763,0.0833,0.987
0.009000,0.1273,0.9667,0.0748,0.978
0.011000,0.1422,0.9621,0.0674,0.975
0.013000,0.1510,0.9626,0.0630,0.976
0.024000,0.1669,0.9653,0.0584,0.981
0.024000,0.1783,0.9663,0.0584,0.984
0.025000,0.1837,0.9667,0.0596,0.986
0.025000,0.1884,0.9660,0.0594,0.986
0.025000,0.1889,0.9672,0.0533,0.987
0.026000,0.1876,0.9692,0.0457,0.988
0.031000,0.1835,0.9707,0.0410,0.989
0.032000,0.1786,0.9711,0.0330,0.988
0.032000,0.1752,0.9738,0.0303,0.990
0.041000,0.1740,0.9736,0.0298,0.989
0.042000,0.1722,0.9736,0.0332,0.989
0.042000,0.1725,0.9719,0.0388,0.988
0.043000,0.1730,0.9719,0.0408,0.988
0.043000,0.1749,0.9709,0.0447,0.988
0.044000,0.1783,0.9707,0.0462,0.988
0.045000,0.1793,0.9689,0.0467,0.987
0.047000,0.1825,0.9689,0.0452,0.987
0.052000,0.1857,0.9663,0.0437,0.985
0.053000,0.1849,0.9636,0.0469,0.982
0.053000,0.1845,0.9628,0.0486,0.982
0.055000,0.1827,0.9621,0.0542,0.981
0.057000,0.1788,0.9619,0.0581,0.980
0.059000,0.1779,0.9611,0.0599,0.979
0.061000,0.1774,0.9580,0.0630,0.976
0.063000,0.1764,0.9555,0.0652,0.974
0.065000,0.1776,0.9514,0.0662,0.970
0.068000,0.1786,0.9506,0.0640,0.969
0.069000,0.1815,0.9482,0.0652,0.968
0.071000,0.1823,0.9467,0.0638,0.966
