time,gFx,gFy,gFz,TgF
0.003000,0.0054,0.9814,-0.0574,0.983
0.003000,0.0051,0.9809,-0.0579,0.983
0.004000,0.0093,0.9760,-0.0567,0.978
0.004000,0.0107,0.9751,-0.0579,0.977
0.004000,0.0122,0.9765,-0.0623,0.979
0.005000,0.0107,0.9773,-0.0601,0.979
0.005000,0.0090,0.9765,-0.0562,0.978
0.005000,0.0095,0.9768,-0.0555,0.978
0.032000,0.0103,0.9787,-0.0533,0.980
0.032000,0.0105,0.9765,-0.0506,0.978
0.033000,0.0115,0.9760,-0.0501,0.977
0.033000,0.0142,0.9755,-0.0513,0.977
0.033000,0.0176,0.9753,-0.0494,0.977
0.034000,0.0195,0.9746,-0.0484,0.976
0.034000,0.0203,0.9751,-0.0520,0.977
0.035000,0.0173,0.9760,-0.0547,0.978
0.036000,0.0137,0.9760,-0.0555,0.978
0.036000,0.0122,0.9758,-0.0552,0.977
0.037000,0.0088,0.9785,-0.0545,0.980
0.037000,0.0093,0.9799,-0.0533,0.981
0.037000,0.0100,0.9807,-0.0506,0.982
0.038000,0.0117,0.9814,-0.0498,0.983
0.038000,0.0142,0.9819,-0.0518,0.983
0.038000,0.0147,0.9807,-0.0516,0.982
0.039000,0.0159,0.9795,-0.0496,0.981
0.050000,0.0151,0.9797,-0.0533,0.981
0.051000,0.0178,0.9812,-0.0535,0.983
0.051000,0.0193,0.9797,-0.0537,0.981
0.051000,0.0200,0.9795,-0.0550,0.981
0.052000,0.0144,0.9809,-0.0569,0.983
0.052000,0.0112,0.9814,-0.0572,0.983
0.054000,0.0081,0.9809,-0.0581,0.983
0.076000,0.0064,0.9831,-0.0589,0.985
0.077000,0.0073,0.9848,-0.0589,0.987
0.077000,0.0071,0.9836,-0.0586,0.985
0.077000,0.0066,0.9826,-0.0586,0.984
0.077000,0.0129,0.9770,-0.0586,0.979
0.078000,0.0144,0.9770,-0.0589,0.979
0.078000,0.0147,0.9787,-0.0613,0.981
0.078000,0.0134,0.9792,-0.0608,0.981
0.079000,0.0115,0.9787,-0.0608,0.981
0.079000,0.0100,0.9790,-0.0591,0.981
0.079000,0.0095,0.9785,-0.0557,0.980
0.080000,0.0122,0.9765,-0.0486,0.978
0.080000,0.0122,0.9763,-0.0457,0.977
0.096000,0.0103,0.9795,-0.0391,0.980
0.097000,0.0076,0.9807,-0.0315,0.981
0.097000,0.0061,0.9817,-0.0283,0.982
0.098000,0.0015,0.9836,-0.0274,0.984
0.099000,0.0046,0.9834,-0.0286,0.984
0.099000,0.0081,0.9836,-0.0349,0.984
0.100000,0.0115,0.9824,-0.0425,0.983
0.100000,0.0125,0.9821,-0.0467,0.983
0.101000,0.0144,0.9819,-0.0525,0.983
0.101000,0.0161,0.9809,-0.0555,0.983
0.101000,0.0183,0.9785,-0.0623,0.981
0.107000,0.0198,0.9782,-0.0669,0.981
0.107000,0.0205,0.9792,-0.0711,0.982
0.108000,0.0213,0.9797,-0.0711,0.983
0.110000,0.0213,0.9775,-0.0706,0.980
0.112000,0.0222,0.9770,-0.0730,0.980
0.113000,0.0208,0.9773,-0.0733,0.980
0.115000,0.0193,0.9763,-0.0713,0.979
0.117000,0.0191,0.9773,-0.0682,0.980
0.119000,0.0191,0.9770,-0.0667,0.979
0.121000,0.0178,0.9777,-0.0665,0.980
0.123000,0.0166,0.9802,-0.0635,0.982
0.125000,0.0137,0.9790,-0.0606,0.981
0.130000,0.0112,0.9795,-0.0589,0.981
0.130000,0.0110,0.9792,-0.0577,0.981
0.131000,0.0139,0.9795,-0.0562,0.981
0.133000,0.0149,0.9802,-0.0555,0.982
0.135000,0.0176,0.9807,-0.0537,0.982
0.137000,0.0193,0.9775,-0.0540,0.979
0.139000,0.0195,0.9768,-0.0537,0.978
0.141000,0.0205,0.9782,-0.0535,0.980
0.143000,0.0205,0.9773,-0.0537,0.979
0.145000,0.0176,0.9770,-0.0572,0.979
0.147000,0.0154,0.9780,-0.0567,0.980
0.149000,0.0127,0.9777,-0.0562,0.979
0.151000,0.0122,0.9780,-0.0555,0.980
0.153000,0.0127,0.9777,-0.0547,0.979
0.155000,0.0139,0.9787,-0.0545,0.980
0.157000,0.0142,0.9802,-0.0520,0.982
0.159000,0.0144,0.9775,-0.0498,0.979
0.164000,0.0159,0.9770,-0.0491,0.978
0.164000,0.0154,0.9787,-0.0518,0.980
0.165000,0.0159,0.9787,-0.0496,0.980
0.167000,0.0161,0.9782,-0.0479,0.980
0.169000,0.0181,0.9785,-0.0501,0.980
